Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Nauru,NRU,-0.107922503,-0.186686372,-0.374421563,-0.47496626,-0.228389951,0.009940852,-0.10940376,-0.1493801,-0.139623041,-0.109840742,0.069912612,0.269206005,0.546151003,1.659748388,2.405812722,2.116829595,1.954339488,1.773481154,1.548486934,1.342066545,0.953874732,0.482136104,0.565263581,0.782649678,0.625107628
New Caledonia,NCL,2.071395962,2.070156011,2.044857799,1.96943812,1.894647154,1.748206942,1.45458459,1.28719801,1.2756258,1.228833221,1.340332153,1.669943516,1.878777156,1.891630908,1.892280984,1.577680445,0.688885628,0.090012025,0.043388616,-0.001763398,0.022921747,0.200781353,0.364601117,0.667091968,0.952185124
New Zealand,NZL,0.525484536,0.587564086,0.589286035,1.737174864,1.973558544,1.486219082,1.12877351,1.21898486,0.932407688,0.848701402,0.999728031,1.111726056,0.762479795,0.548220797,0.768347998,1.661012001,2.036033909,2.2460321,2.088722723,1.791240168,1.591158896,2.204788696,0.413665247,0.115363947,2.048368089
Northern Mariana Islands,MNP,7.199795439,3.634813864,-0.545695941,-1.789869839,-2.053037714,-2.292944402,-2.508603978,-2.718071031,-2.911017015,-3.085755333,-3.24545043,-2.255707252,-0.896950275,-0.700102071,-0.898187033,-1.105446951,-1.280733473,-1.448889816,-1.616204818,-1.781217576,-1.950558724,-1.256589498,-1.16183177,-1.936508068,-2.050038358
Palau,PLW,2.01476421,1.454895801,0.903198458,0.777252658,0.796694884,0.815628018,-0.005045536,-1.146871395,-1.49636421,-1.529616626,-1.590785972,-1.687144183,-1.74375203,-1.74654999,-0.660776696,0.378927581,0.309990385,0.15182616,0.084248369,0.011227755,-0.089857358,-0.033717337,-0.050597331,-0.135051509,-0.180352864
Papua New Guinea,PNG,3.47976948,3.449251614,3.397797313,3.357003331,3.32025851,3.277572167,3.232011298,3.189384748,3.145529229,3.105743919,3.063222045,3.019984677,2.915392813,2.786049057,2.701663478,2.623961032,2.546138405,2.468043308,2.3925158,2.323868777,2.257540455,2.128663097,1.988603122,1.882449614,1.811031625
Philippines,PHL,2.556057211,2.379265889,2.206045319,2.027669856,1.982113551,1.943267567,1.859412172,1.682083808,1.734634073,1.767334664,1.801550616,2.047954252,1.964738525,1.942262379,1.879715797,1.642832838,1.478753843,1.341907095,1.288301867,1.236860333,1.216155346,1.145514086,0.905660311,0.760479216,0.810000999
Samoa,WSM,0.76285241,0.779095553,0.811842716,0.709942406,0.518518278,0.440703578,0.390647476,0.390192842,0.554639075,0.71477895,0.736861989,0.785366135,0.871732675,0.91255736,0.89673977,0.888269859,0.868555728,0.847318415,0.93712322,1.049411926,1.05329202,1.02627263,0.862068229,0.690847424,0.649190563
Singapore,SGP,0.799148451,1.732042233,2.697355843,0.912639806,-1.474532842,1.251916673,2.350511289,3.129389156,4.166002864,5.321517083,3.015949915,1.771832879,2.084902456,2.45339033,1.619308099,1.298440178,1.186376937,1.297436099,0.08859547,0.469704299,1.144283307,-0.311904961,-4.1703363,3.308620524,4.858316078
Solomon Islands,SLB,2.690696723,2.289274446,1.946117711,1.884933994,1.836546626,1.797946951,1.768675026,1.747090117,1.726687719,1.711530798,1.821204825,2.821397885,3.679715423,3.668421041,3.652621482,3.62509399,3.583379165,3.528420383,3.45614796,3.359859127,2.650498034,2.220721486,2.401167987,2.393780769,2.395832434
Thailand,THA,1.254098991,1.13127018,1.015848468,0.962026885,0.931947505,0.896077275,0.860087894,0.830063303,0.800044181,0.768156179,0.738542682,0.670617338,0.621807948,0.619591347,0.587325699,0.530129864,0.460976294,0.451266063,0.42296351,0.302929452,0.204609852,0.166540795,0.119758275,0.011148545,-0.045865189
Timor-Leste,TLS,-12.14989643,-11.35664525,8.630461119,7.91588253,4.200865218,1.321397031,2.049411634,2.939157221,2.855828689,2.703719071,2.520491249,2.416489984,2.326239374,2.198483979,2.076304762,1.983147949,1.946242341,1.905259439,1.886415497,1.919302866,1.939287072,1.911593734,1.800068931,1.408845874,1.08884744
Tonga,TON,0.646895106,0.616444658,0.593306428,0.56574233,0.566388827,0.579379768,0.569418171,0.549254887,0.444175978,0.275093041,0.170850044,0.183594876,0.158161637,-0.102311314,-0.356114445,-0.438960492,-0.483301678,-0.539650396,-0.159332355,0.200073079,0.096574455,0.033116813,-0.202657342,-0.425589151,-0.424539965
Tuvalu,TUV,0.475010129,0.504202749,0.439101594,0.385236564,0.745422232,1.240341871,1.255331326,1.160245062,1.245198419,1.35591991,1.347340178,1.451982804,1.551868108,1.418463499,0.610897728,-0.154650929,-0.191370177,-0.30146645,-0.559660161,-1.091592708,-1.593883358,-1.735029224,-1.991033576,-2.001453909,-1.777106541
Vanuatu,VUT,2.072995553,2.298589779,2.517943218,2.49797167,2.462499211,2.443184382,2.424777418,2.420181731,2.448892846,2.508097161,2.539151745,2.342886778,2.169801269,2.197274588,2.224720006,2.237417559,2.22716538,2.224593213,2.332132561,2.395434581,2.330489157,2.326611311,2.318509214,2.319650826,2.324816009
Viet Nam,VNM,1.303284915,1.129509842,1.051237474,1.024450559,0.999847905,0.969589432,0.928402391,1.322583364,1.767798458,1.827455213,1.496487238,1.144402597,1.151834061,1.170987408,1.180297555,1.214234636,1.239754031,1.259883665,1.244204736,1.107913952,0.968366699,0.927434296,0.868883561,0.750756665,0.671429251
